algorithm,modularity_Q,n_clusters,silhouette,dunn,davies_bouldin,runtime_sec,nmi,ari,purity,membership_csv,network_png,profiles_csv,centrality_csv,heatmap_png,correlation_png,bridge_nodes_csv,stability_runs,modularity_mean,modularity_std
Louvain,0.4438541256723075,4,-0.35702092566861066,0.04427910976466095,5.724982387236297,1.6237370000162628,0.4610100067253728,0.4028436018957346,0.8235294117647058,D:\Projecthk8\KTDLproject\outputs\tables\louvain_membership.csv,D:\Projecthk8\KTDLproject\outputs\figures\louvain_network.png,D:\Projecthk8\KTDLproject\outputs\tables\louvain_community_profiles.csv,D:\Projecthk8\KTDLproject\outputs\tables\louvain_node_centrality.csv,D:\Projecthk8\KTDLproject\outputs\figures\louvain_adjacency_heatmap.png,D:\Projecthk8\KTDLproject\outputs\figures\louvain_feature_correlation.png,D:\Projecthk8\KTDLproject\outputs\tables\louvain_bridge_nodes.csv,1,,
Girvan-Newman,0.3849721706864564,5,-0.4027813333786317,0.008375558622445647,24.15007192491859,1.3593687000102364,0.41118040094190855,0.3291384317521781,0.7941176470588235,D:\Projecthk8\KTDLproject\outputs\tables\girvan_newman_membership.csv,D:\Projecthk8\KTDLproject\outputs\figures\girvan_newman_network.png,D:\Projecthk8\KTDLproject\outputs\tables\girvan_newman_community_profiles.csv,D:\Projecthk8\KTDLproject\outputs\tables\girvan_newman_node_centrality.csv,D:\Projecthk8\KTDLproject\outputs\figures\girvan_newman_adjacency_heatmap.png,D:\Projecthk8\KTDLproject\outputs\figures\girvan_newman_feature_correlation.png,D:\Projecthk8\KTDLproject\outputs\tables\girvan_newman_bridge_nodes.csv,1,,
Label Propagation,0.4400873296977193,4,-0.3603662846603471,0.02313065389210148,10.896352122604824,1.4763910999754444,0.3169932166591199,0.3274021352313167,0.7941176470588235,D:\Projecthk8\KTDLproject\outputs\tables\label_propagation_membership.csv,D:\Projecthk8\KTDLproject\outputs\figures\label_propagation_network.png,D:\Projecthk8\KTDLproject\outputs\tables\label_propagation_community_profiles.csv,D:\Projecthk8\KTDLproject\outputs\tables\label_propagation_node_centrality.csv,D:\Projecthk8\KTDLproject\outputs\figures\label_propagation_adjacency_heatmap.png,D:\Projecthk8\KTDLproject\outputs\figures\label_propagation_feature_correlation.png,D:\Projecthk8\KTDLproject\outputs\tables\label_propagation_bridge_nodes.csv,10,0.33551282772061997,0.14037280784362097
